Virtual address: 16916, PageNum: 66, PageOff: 20, Physical address: 20, Value: 0
Virtual address: 62493, PageNum: 244, PageOff: 29, Physical address: 285, Value: 0
Virtual address: 30198, PageNum: 117, PageOff: 246, Physical address: 758, Value: 29
Virtual address: 53683, PageNum: 209, PageOff: 179, Physical address: 947, Value: 108
Virtual address: 40185, PageNum: 156, PageOff: 249, Physical address: 1273, Value: 0
Virtual address: 28781, PageNum: 112, PageOff: 109, Physical address: 1389, Value: 0
Virtual address: 24462, PageNum: 95, PageOff: 142, Physical address: 1678, Value: 23
Virtual address: 48399, PageNum: 189, PageOff: 15, Physical address: 1807, Value: 67
Virtual address: 64815, PageNum: 253, PageOff: 47, Physical address: 2095, Value: 75
Virtual address: 18295, PageNum: 71, PageOff: 119, Physical address: 2423, Value: -35
Virtual address: 12218, PageNum: 47, PageOff: 186, Physical address: 2746, Value: 11
Virtual address: 22760, PageNum: 88, PageOff: 232, Physical address: 3048, Value: 0
Virtual address: 57982, PageNum: 226, PageOff: 126, Physical address: 3198, Value: 56
Virtual address: 27966, PageNum: 109, PageOff: 62, Physical address: 3390, Value: 27
Virtual address: 54894, PageNum: 214, PageOff: 110, Physical address: 3694, Value: 53
Virtual address: 38929, PageNum: 152, PageOff: 17, Physical address: 3857, Value: 0
Virtual address: 32865, PageNum: 128, PageOff: 97, Physical address: 4193, Value: 0
Virtual address: 64243, PageNum: 250, PageOff: 243, Physical address: 4595, Value: -68
Virtual address: 2315, PageNum: 9, PageOff: 11, Physical address: 4619, Value: 66
Virtual address: 64454, PageNum: 251, PageOff: 198, Physical address: 5062, Value: 62
Virtual address: 55041, PageNum: 215, PageOff: 1, Physical address: 5121, Value: 0
Virtual address: 18633, PageNum: 72, PageOff: 201, Physical address: 5577, Value: 0
Virtual address: 14557, PageNum: 56, PageOff: 221, Physical address: 5853, Value: 0
Virtual address: 61006, PageNum: 238, PageOff: 78, Physical address: 5966, Value: 59
Virtual address: 62615, PageNum: 244, PageOff: 151, Physical address: 407, Value: 37
Virtual address: 7591, PageNum: 29, PageOff: 167, Physical address: 6311, Value: 105
